hvcrate34, 4098
Ncat: Version 7.50 ( https://nmap.org/ncat )
Ncat: Connected to 192.168.24.55:4098.
M 1 R E A VER

Reading Demand   Backup   Actual
C   0    -1250        0    -1250
C   1    -1400        0    -1400
C   2    -1450        0    -1451
C   3    -1300        0    -1299
C   4    -1310        0    -1310
C   5    -1380        0    -1380
C   6    -1420        0    -1420
C   7    -1340        0    -1340
C   8    -1350        0    -1349
C   9    -1240        0    -1240
C  10    -1490        0    -1489
C  11    -1450        0    -1450
C  12    -1250        0    -1250
C  13    -1350        0    -1349
C  14    -1250        0    -1250
C  15    -1395        0    -1395
C  16    -1360        0    -1361
C  17    -1230        0    -1230
C  18    -1130        0    -1130
C  19    -1295        0    -1295
C  20    -1530        0    -1531
C  21    -1460        0    -1462
C  22    -1195        0    -1196
C  23    -1220        0    -1221
C  24    -1330        0    -1331
C  25    -1410        0    -1411
C  26    -1415        0    -1416
C  27    -1350        0    -1351
C  28    -1300        0    -1300
C  29    -1260        0    -1260
C  30    -1235        0    -1236
C  31    -1200        0    -1200
C  32    -1760        0    -1762
C  33    -1440        0    -1441
C  34    -1570        0    -1572
C  35    -1650        0    -1652
C  36    -1430        0    -1431
C  37    -1520        0    -1522
C  38    -1440        0    -1441
C  39    -1470        0    -1471
C  40    -1300        0    -1301
C  41    -1470        0    -1471
C  42    -1310        0    -1311
C  43    -1480        0    -1482
C  44    -1750        0    -1752
C  45    -1570        0    -1571
C  46    -1660        0    -1662
C  47    -1690        0    -1692
C  48    -1740        0    -1741
C  49    -1600        0    -1601
C  50    -1650        0    -1651
C  51    -1550        0    -1552
C  52    -1570        0    -1572
C  53    -1750        0    -1752
C  54    -1490        0    -1492
C  55    -1610        0    -1612
C  56    -1470        0    -1471
C  57    -1300        0    -1301
C  58    -1380        0    -1380
C  59    -1600        0    -1601
C  60    -1490        0    -1492
C  61    -1620        0    -1622
C  62    -1730        0    -1732
C  63    -1830        0    -1832
C  64    -1740        0    -1746
C  65    -1550        0    -1556
C  66    -1450        0    -1454
C  67    -1410        0    -1416
C  68    -1380        0    -1385
C  69    -1490        0    -1496
C  70    -1590        0    -1597
C  71    -1260        0    -1265
C  72    -1490        0    -1496
C  73    -1460        0    -1465
C  74    -1300        0    -1305
C  75    -1570        0    -1577
C  76    -1140        0    -1144
C  77    -1600        0    -1606
C  78    -1700        0    -1707
C  79        0        0    -  78
C  80    -1640        0    -1643
C  81    -1660        0    -1662
C  82    -1460        0    -1462
C  83    -1510        0    -1512
C  84    -1550        0    -1553
C  85    -1550        0    -1553
C  86    -1600        0    -1602
C  87    -1605        0    -1608
C  88    -1400        0    -1401
C  89    -1650        0    -1652
C  90    -1560        0    -1562
C  91    -1030        0    -1031
C  92    -1650        0    -1652
C  93    -1550        0    -1552
C  94    -1550        0    -1552
C  95    -1600        0    -1603
C  96    -   0        0    -  56
C  97    -1750        0    -1750
C  98    -1650        0    -1651
C  99    -1750        0    -1749
C 100    -1650        0    -1650
C 101    -1540        0    -1540
C 102    -1350        0    -1350
C 103    -1370        0    -1371
C 104    -1480        0    -1480
C 105    -1570        0    -1569
C 106    -1400        0    -1400
C 107    -1350        0    -1351
C 108    -1580        0    -1580
C 109    -1680        0    -1680
C 110    -1630        0    -1630
C 111    -1750        0    -1750
C 112    -1650        0    -1654
C 113    -1710        0    -1714
C 114    -1590        0    -1593
C 115    -1360        0    -1363
C 116    -1600        0    -1604
C 117    -1600        0    -1604
C 118    -1450        0    -1453
C 119    -1450        0    -1452
C 120    -1420        0    -1423
C 121    -1470        0    -1472
C 122    -1480        0    -1484
C 123    -1590        0    -1594
C 124    -1680        0    -1683
C 125      150        0    - 150
C 126    -1700        0    -1704
C 127    -   0        0    -  51
C 128    -1750        0    -1753
C 129    -1610        0    -1612
C 130    -1630        0    -1631
C 131    -1550        0    -1552
C 132    -1460        0    -1462
C 133    -1500        0    -1502
C 134    -1600        0    -1602
C 135    -1600        0    -1602
C 136    -1590        0    -1592
C 137    -1550        0    -1552
C 138    -1370        0    -1372
C 139    -1530        0    -1531
C 140    -1490        0    -1492
C 141    -1580        0    -1582
C 142    -1690        0    -1692
C 143    -1850        0    -1852
C 144    -1600        0    -1601
C 145    -1630        0    -1630
C 146    -1560        0    -1560
C 147    -1590        0    -1592
C 148    -1270        0    -1271
C 149    -1360        0    -1360
C 150    -1440        0    -1441
C 151    -1820        0    -1822
C 152    -1350        0    -1350
C 153    -1460        0    -1461
C 154    -1380        0    -1380
C 155    -1550        0    -1551
C 156    -1630        0    -1630
C 157    -1660        0    -1660
C 158    -1690        0    -1691
C 159    -1620        0    -1621
C 160    -1600        0    -1601
C 161    -1600        0    -1600
C 162    -1386        0    -1387
C 163    -1316        0    -1316
C 164    -1341        0    -1341
C 165    -1452        0    -1452
C 166    -1620        0    -1621
C 167    -1650        0    -1651
C 168    -1680        0    -1680
C 169    -1650        0    -1651
C 170    -1400        0    -1400
C 171    -1421        0    -1422
C 172    -1382        0    -1384
C 173    -1500        0    -1501
C 174    -1350        0    -1351
C 175    -1386        0    -1387
C 176    -1350        0    -1350
C 177    -1470        0    -1470
C 178    -1336        0    -1335
C 179    -1280        0    -1280
C 180    -1430        0    -1430
C 181    -1511        0    -1511
C 182    -1670        0    -1670
C 183    -1700        0    -1700
C 184    -1830        0    -1830
C 185    -1566        0    -1566
C 186    -1400        0    -1399
C 187    -1551        0    -1551
C 188    -1390        0    -1389
C 189    -1420        0    -1420
C 190    -1565        0    -1565
C 191    -1560        0    -1560
C 192    -1396        0    -1400
C 193    -1382        0    -1385
C 194    -1380        0    -1383
C 195    -1300        0    -1304
C 196    -1390        0    -1394
C 197    -1580        0    -1582
C 198    -1460        0    -1464
C 199    -1530        0    -1532
C 200    -1690        0    -1693
C 201    -1521        0    -1524
C 202    -1575        0    -1578
C 203    -1283        0    -1286
C 204    -1329        0    -1332
C 205    -1305        0    -1308
C 206    -1650        0    -1653
C 207        0        0    - 573
C 208    -1500        0    -1502
C 209    -1630        0    -1633
C 210    -1366        0    -1368
C 211    -1281        0    -1283
C 212    -1350        0    -1352
C 213    -1721        0    -1724
C 214    -1470        0    -1473
C 215    -1500        0    -1502
C 216    -1510        0    -1513
C 217    -1202        0    -1204
C 218    -1625        0    -1628
C 219    -1192        0    -1193
C 220    -1321        0    -1323
C 221    -1305        0    -1307
C 222    -1584        0    -1587
C 223    -1196        0    -1198
C 224        0        0    -   0
C 225        0        0    -   0
C 226        0        0    -   0
C 227        0        0    -   0
C 228        0        0    -   0
C 229        0        0    -   0
C 230        0        0    -   0
C 231        0        0    -   0
C 232        0        0    -   0
C 233        0        0    -   0
C 234        0        0    -   0
C 235        0        0    -   0
C 236        0        0    -   0
C 237        0        0    -   0
C 238        0        0    -   0
C 239        0        0    -   0
C 240        0        0    -   0
C 241        0        0    -   0
C 242        0        0    -   0
C 243        0        0    -   0
C 244        0        0    -   0
C 245        0        0    -   0
C 246        0        0    -   0
C 247        0        0    -   0
C 248        0        0    -   0
C 249        0        0    -   0
C 250        0        0    -  53
C 251    -1550        0    -1552
C 252    -1195        0    -1196
C 253    -1760        0    -1763
C 254    -1630        0    -1633
C 255    -1690        0    -1693

