1,cup bottom,INS_T01,double,1,,,,,,1
2,cup bottom cernox,INS_T02,double,1,,,,,,1
3,cup middle,INS_T03,double,1,,,,,,1
4,cup middle cernox,INS_T04,double,1,,,,,,1
5,cup top,INS_T05,double,1,,,,,,1
6,nose bottom,EVF_T01,double,1,,,,,,1
7,nose middle,EVF_T02,double,1,,,,,,1
8,nose top,EVF_T03,double,1,,,,,,1
9,heat exchager top,EVF_T04,double,1,,,,,,1
10,separator bottom,EVF_T05,double,1,,,,,,1
11,separator top,EVF_T06,double,1,,,,,,1
12,baffles bottom,EVF_T07,double,1,,,,,,1
13,baffles top,EVF_T08,double,1,,,,,,1
14,magnet dewar bottom,SCM_T01,double,1,,,,,,1
15,magnet dewar top,SCM_T02,double,1,,,,,,1
16,magnet tank bottom,SCM_T03,double,1,,,,,,1
17,magnet tank top,SCM_T04,double,1,,,,,,1
18,front lower left,SCM_T05,double,1,,,,,,1
19,front lower right,SCM_T06,double,1,,,,,,1
20,front upper left,SCM_T07,double,1,,,,,,1
21,front upper right,SCM_T08,double,1,,,,,,1
22,back lower left,SCM_T09,double,1,,,,,,1
23,back lower right,SCM_T10,double,1,,,,,,1
24,back upper left,SCM_T11,double,1,,,,,,1
25,back upper right,SCM_T12,double,1,,,,,,1
26,NMR board ,PAS_T01,double,1,,,,,,1
27,NMR board ,PAS_T02,double,1,,,,,,1
28,NMR board ,PAS_T03,double,1,,,,,,1
29,NMR board ,PAS_T04,double,1,,,,,,1
30,NMR board ,PAS_T05,double,1,,,,,,1
31,NMR board ,PAS_T06,double,1,,,,,,1
32,roots bottom,RPS_T01,double,1,,,,,,1
33,roots middle,RPS_T02,double,1,,,,,,1
34,roots top,RPS_T03,double,1,,,,,,1
35,microwave on board EIO sensor,MWS_T01,double,1,,,,,,1
36,microwave on board PS sensor ,MWS_T02,double,1,,,,,,1
37,microwave EIO collector,MWS_T03,double,1,,,,,,1
38,microwave EIO chiller,MWS_T04,double,1,,,,,,1
39,nose 4He fine,EVF_P01,double,10,,,,,,1
40,nose 4He coarse,EVF_P02,double,10,,,,,,1
41,nose 3He,EVF_P03,double,10,,,,,,1
42,outer vacuum fine,OVS_P01,double,1,,,,,,1
43,outer vacuum coarse,OVS_P02,double,1,,,,,,1
44,roots top,RPS_P01,double,1,,,,,,1
45,roots middle,RPS_P02,double,1,,,,,,1
46,oerlikon roots top,RPS_P03,double,1,,,,,,1
47,oerlikon roots middle,RPS_P04,double,1,,,,,,1
48,oerlikon roots bottom,RPS_P05,double,1,,,,,,1
49,oerlikon top pipe,RPS_P06,double,1,,,,,,1
50,separator,EVF_F01,double,1,,,,,,1
51,separator set,EVF_FS1,double,1,,,,,,1
52,main,EVF_F02,double,1,,,,,,1
53,magnet tank,SCM_F01,double,1,,,,,,1
54,magnet tank built in,SCM_F02,double,1,,,,,,1
55,roots cooling water M1,RPS_F01,double,1,,,,,,1
56,roots cooling water M2,RPS_F02,double,1,,,,,,1
57,roots cooling water M3,RPS_F03,double,1,,,,,,1
58,roots cooling water M4,RPS_F04,double,1,,,,,,1
59,roots cooling water heat exchanger 1,RPS_F05,double,1,,,,,,1
60,roots cooling water heat exchanger 2,RPS_F06,double,1,,,,,,1
61,4LHe nose,EVF_L01,double,1,,,,,,1
62,4LHe nose set,EVF_LS1,double,1,,,,,,1
63,4LHe magnet tank,SCM_L01,double,1,,,,,,1
64,LN2 magnet tank,SCM_L02,double,1,,,,,,1
65,run valve,EVF_S01,,5,,,,,,1
66,run valve set,EVF_SS1,,5,,,,,,1
67,run valve potentiometer,EVF_S02,,5,,,,,,1
68,bypass valve,EVF_S03,,5,,,,,,1
69,bypass valve set,EVF_SS3,,5,,,,,,1
70,bypass valve potentiometer,EVF_S04,,5,,,,,,1
71,EIO tube,MWS_S01,,3,,,,,,1
72,EIO tube set,MWS_SS1,,3,,,,,,1
73,EIO tube potentiometer,MWS_S02,,3,,,,,,1
74,EIO tube limit switch,MWS_S03,,1,,,,,,1
75,Insert elevator,TMS_S01,,50,,,,,,1
76,Insert elevator set,TMS_SS1,,50,,,,,,1
77,Insert elevator potentiometer 1,TMS_S02,,50,,,,,,1
78,Insert elevator potentiometer 2,TMS_S03,,50,,,,,,1
79,Insert elevator limit switch 1,TMS_S04,,50,,,,,,1
80,Insert elevator limit switch 2,TMS_S05,,50,,,,,,1
81,Insert elevator limit switch 3,TMS_S06,,50,,,,,,1
82,Insert elevator limit switch 4,TMS_S07,,50,,,,,,1
83,Insert elevator limit switch 5,TMS_S08,,50,,,,,,1
84,frequency,MWS_uWF,double,3,,,,,,1
85,power,MWS_uWP,double,1,,,,,,1
86,PS cathode voltage,MWS_V01,double,1,,,,,,1
87,PS collector voltage,MWS_V02,double,1,,,,,,1
88,PS filament voltage,MWS_V03,double,1,,,,,,1
89,PS filament current,MWS_I01,double,1,,,,,,1
90,PS body current,MWS_I02,double,1,,,,,,1
91,main status,MWS_STA,integer,1,,,,,,1
92,FM frequency,MWS_FMF,double,1,,,,,,1
93,FM amplitude,MWS_FMA,double,1,,,,,,1
94,FM offset,MWS_FMO,double,1,,,,,,1
95,magnet current,SCM_I01,double,50,,,,,,1
96,magnet current setpoint,SCM_IS1,double,50,,,,,,1
97,magnet ramp up rate,SCM_R01,double,1,,,,,,1
98,magnet ramp up rate set,SCM_RS1,double,1,,,,,,1
99,magnet voltage,SCM_V01,double,50,,,,,,1
100,magnet field,SCM_B01,double,50,,,,,,1
101,magnet mode,SCM_MOD,double,1,,,,,,1
102,magnet status,SCM_MST,double,1,,,,,,1
103,magnet switch heater status,SCM_HST,double,1,,,,,,1
104,shim coil mode,SCM_SST,double,1,,,,,,1
105,shim coil status,SCM_SMD,double,1,,,,,,1
106,4He temperature calculated,PAS_4HE_TEM,double,10,,,,,,1
107,3He temperature calculated,PAS_3HE_TEM,double,10,,,,,,1
108,run type,PAS_RUN_TYP,string,1,,,,,,1
109,target type,PAS_TRG_TYP,string,1,,,,,,1
110,Coil 1 ladder location,PAS_C1_LADL,string,10,,,,,,1
111,Coil 1 board number,PAS_C1_BRDN,integer,10,,,,,,1
112,Coil 1 baseline file,PAS_C1_BAFN,string,10,,,,,,1
113,Coil 1 TE file,PAS_C1_TEFN,string,10,,,,,,1
114,Coil 1 calibration constant,PAS_C1_CALC,double,10,,,,,,1
115,Coil 1 R&S on/off,PAS_C1_RSON,integer,10,,,,,,1
116,Coil 1 RF center frequency,PAS_C1_RFF0,double,10,,,,,,1
117,Coil 1 RF frequency step size,PAS_C1_RFFS,double,10,,,,,,1
118,Coil 1 RF number of frequency steps,PAS_C1_RFFN,integer,10,,,,,,1
119,Coil 1 RF power,PAS_C1_RFPW,double,10,,,,,,1
