1,DP1; LT qdrnt; brd 1; plate RTD,DP1_LT1_TPLATE,double,1,C,27,28.5,31.5,33,1,1
2,DP1; LT qdrnt; brd 2; plate RTD,DP1_LT2_TPLATE,double,1,C,27,28.5,31.5,33,1,1
3,DP1; LT qdrnt; brd 3; plate RTD,DP1_LT3_TPLATE,double,1,C,27,28.5,31.5,33,1,1
4,DP1; LT qdrnt; brd 4; plate RTD,DP1_LT4_TPLATE,double,1,C,27,28.5,31.5,33,1,1
5,DP1; LB qdrnt; brd 1; plate RTD,DP1_LB1_TPLATE,double,1,C,27,28.5,31.5,33,1,1
6,DP1; LB qdrnt; brd 2; plate RTD,DP1_LB2_TPLATE,double,1,C,27,28.5,31.5,33,1,1
7,DP1; LB qdrnt; brd 3; plate RTD,DP1_LB3_TPLATE,double,1,C,27,28.5,31.5,33,1,1
8,DP1; LB qdrnt; brd 4; plate RTD,DP1_LB4_TPLATE,double,1,C,27,28.5,31.5,33,1,1
9,DP1; RT qdrnt; brd 1; plate RTD,DP1_RT1_TPLATE,double,1,C,27,28.5,31.5,33,1,1
10,DP1; RT qdrnt; brd 2; plate RTD,DP1_RT2_TPLATE,double,1,C,27,28.5,31.5,33,1,1
11,DP1; RT qdrnt; brd 3; plate RTD,DP1_RT3_TPLATE,double,1,C,27,28.5,31.5,33,1,1
12,DP1; RT qdrnt; brd 4; plate RTD,DP1_RT4_TPLATE,double,1,C,27,28.5,31.5,33,1,1
13,DP1; RB qdrnt; brd 1; plate RTD,DP1_RB1_TPLATE,double,1,C,27,28.5,31.5,33,1,1
14,DP1; RB qdrnt; brd 2; plate RTD,DP1_RB2_TPLATE,double,1,C,27,28.5,31.5,33,1,1
15,DP1; RB qdrnt; brd 3; plate RTD,DP1_RB3_TPLATE,double,1,C,27,28.5,31.5,33,1,1
16,DP1; RB qdrnt; brd 4; plate RTD,DP1_RB4_TPLATE,double,1,C,27,28.5,31.5,33,1,1
